"LocalizationKey","Notes","English","Japanese","Chinese_Simple","Chinese_Traditional","",""
"tutorial_gameplay_input_arrow","Tutorial UI","Use left or right flipper","左右のフリッパーを作動","使用左挡板或右挡板","使用左擋板或右擋板","",""
"tutorial_gameplay_input_ad","Tutorial UI","Move flippers horizontally","フリッパーを左右に移動","水平移动挡板","水平移動擋板","",""
"tutorial_gameplay_input_confirm","Tutorial UI","Confirm selection","決定","确认选项","確認選項","",""
"tutorial_gameplay_input_esc","Tutorial UI","Open the pause menu","ポーズメニューを開く","打开暂停菜单","開啟暫停選單","",""
"tutorial_ui_input_arrow_key","Tutorial UI","Arrow Keys","矢印キー","方向键","方向鍵","",""
"tutorial_ui_input_arrow","Tutorial UI","Navigate menus","メニュー操作","浏览菜单","瀏覽選單","",""
"tutorial_ui_input_confirm","Tutorial UI","Confirm selection","決定","确认选项","確認選項","",""
"tutorial_ui_input_b_key","Tutorial UI","B Key","Bキー","B键","B鍵","",""
"tutorial_ui_input_b","Tutorial UI","Open sound settings","サウンド設定を開く","打开声音设置","開啟聲音設定","",""
"tutorial_ui_input_tab_key","Tutorial UI","Tab Key","Tabキー","Tab键","Tab鍵","",""
"tutorial_ui_input_tab","Tutorial UI","Change language","言語を変更","更改语言","更改語言","",""
"tutorial_gameplay_ball","Tutorial UI","Ball","ボール","球","球","",""
"tutorial_gameplay_ball_explanation","Tutorial UI","Used to defeat enemies\n<color=#FF0000>Game Over</color> when you lose the last one","敵を倒すために使用。最後の1個を失うと<color=#FF0000>ゲームオーバー</color>","用于击败敌人\n当你丢掉最后一个球时<color=#FF0000>游戏结束</color>","用來擊敗敵人\n當你丟掉最後一球時<color=#FF0000>遊戲結束</color>","",""
"tutorial_gameplay_flipper","Tutorial UI","Flippers","フリッパー","挡板","擋板","",""
"tutorial_gameplay_flipper_explanation","Tutorial UI","Used to bounce back balls\n<color=#FF0000>Takes damage</color> from enemies","ボールを跳ね返す。敵からの攻撃で<color=#FF0000>ダメージを受ける</color>","用于反弹球\n撞到敌人会<color=#FF0000>损血</color>","用來反彈球\n撞到敵人會<color=#FF0000>損血</color>","",""
"tutorial_gameplay_hp","Tutorial UI","HP","HP","血量","血量","",""
"tutorial_gameplay_hp_explanation","Tutorial UI","If this reaches 0, it's <color=#FF0000>Game Over</color>","0になると<color=#FF0000>ゲームオーバー</color>","如果血量归零，则<color=#FF0000>游戏结束</color>","如果血量歸零，則<color=#FF0000>遊戲結束</color>","",""
"tutorial_gameplay_energy","Tutorial UI","Energy","エネルギー","能量","能量","",""
"tutorial_gameplay_energy_explanation","Tutorial UI","Fill it to open the upgrade menu and <color=#FFFF00>upgrade skills</color>","最大まで溜まるとアップグレードメニューが開き、<color=#FFFF00>スキルを強化</color>できる","能量满即可打开升级菜单并<color=#FFFF00>升级技能</color>","能量滿即可開啟升級選單並<color=#FFFF00>升級技能</color>","",""
"tutorial_gameplay_enemy","Tutorial UI","Enemy","敵","敌人","敵人","",""
"tutorial_gameplay_enemy_explanation","Tutorial UI","Defeat enemies to earn coins","倒すとコインを獲得","击败敌人即可获得金币","擊敗敵人即可獲得金幣","",""
"tutorial_gameplay_coin","Tutorial UI","Coin","コイン","金币","金幣","",""
"tutorial_gameplay_coin_explanation","Tutorial UI","Collect coins to fill the energy bar","集めるとエネルギーゲージが溜まる","收集金币能补充能量条","收集金幣能補充能量條","",""
"tutorial_gameplay_combo","Tutorial UI","Combo","コンボ","连击","連擊","",""
"tutorial_gameplay_combo_explanation","Tutorial UI","Combos generate bonus coins","コンボでボーナスコイン獲得","连击可获得额外的金币奖励","連擊可獲得額外的金幣獎勵","",""
"tutorial_skill_card_level","Tutorial UI","Current Level (1 / 3 Upgraded)","現在レベル（1 / 3 強化済み）","当前等级（已升级 1/3）","目前等級（已升級 1/3）","",""
"tutorial_skill_card_remaining","Tutorial UI","Remaining Uses (Unlimited)","残り選択可能回数（無制限）","剩余使用次数（无限）","剩餘使用次數（無限）","",""
"tutorial_skill_card_icon","Tutorial UI","Skill Icon","スキルアイコン","技能图标","技能圖示","",""
"tutorial_skill_card_name","Tutorial UI","Skill Name","スキル名","技能名称","技能名稱","",""
"skill_card_name1","Skill Data","One More Ball","ボール追加","追加球","追加球","",""
"skill_card_description1","Skill Data","Spawn an additional ball","ボールを1個追加","生成一个额外的球","產生一個額外的球","",""
"skill_card_name2","Skill Data","Speed Up Balls","ボールのスピードアップ","加速球","加速球","",""
"skill_card_description2","Skill Data","Increase the speed of all balls","すべてのボールの速度を上げる","提高所有球的速度","提高所有球的速度","",""
"skill_card_name3","Skill Data","Bigger Balls","ボールサイズアップ","增大球","增大球","",""
"skill_card_description3","Skill Data","Increase the size of all balls","すべてのボールのサイズをより大きくする","增大所有球的尺寸","增大所有球的尺寸","",""
"skill_card_name4","Skill Data","Recover HP","HP回復","生命恢复","生命恢復","",""
"skill_card_description4","Skill Data","Recover HP","HPを回復する","恢复生命值","恢復生命值","",""
"skill_card_name5","Skill Data","Invincible Flippers","フリッパー無敵","挡板无敌","擋板無敵","",""
"skill_card_description5","Skill Data","Make flippers invincible for a short time","一定時間フリッパーが無敵になる","让挡板在短时间内无敌","讓擋板在短時間內無敵","",""
"skill_card_name6","Skill Data","Flipper Speed Up","フリッパーのスピードアップ","挡板加速","擋板加速","",""
"skill_card_description6","Skill Data","Increase flipper speed","フリッパーの移動速度を上げる","提高挡板的移动速度","提高擋板的移動速度","",""
"result_clear_time","Result UI","Clear Time {}","クリアタイム {}","通关时间 {}","通關時間 {}","",""
"result_play_time","Result UI","Play Time {}","プレイ時間 {}","游戏时间 {}","遊戲時間 {}","",""
"result_not_bad","Result UI","- Better Luck Next Time -","- 次はきっとうまくいく -","- 祝你下次好运 -","- 祝你下次好運 -","",""
"result_good","Result UI","- You Were Doing Great -","- 惜しかった！ -","- 你做得很好 -","- 你做得很好 -","",""
"result_almost_there","Result UI","- You Almost Made It -","- あと少しだった！ -","- 你几乎成功了 -","- 你幾乎成功了 -","",""
"result_thank_you","Result UI","= Thank You for Playing =","= プレイしていただきありがとうございました =","= 感谢游玩 =","= 感謝遊玩 =","",""
"ranking_title","Ranking UI","= Rankings =","= ランキング =","= 排名 =","= 排名 =","",""
"staff_list_title","Staff List UI","= Credits =","= クレジット =","= 开发相关 =","= 開發相關 =","",""
"staff_list_developer","Staff List UI","Developer","開発者","开发人员","開發者","",""
"staff_list_assets","Staff List UI","Assets","アセット","资产","資產","",""
"staff_list_font","Staff List UI","Font","フォント","字体","字體","",""
"staff_list_sound","Staff List UI","Sound","サウンド","声音","聲音","",""
"dont_lose_last_ball","Gameplay UI","Don't lose the <color=#FFFF00>Last Ball</color>","<color=#FFFF00>ラストボール</color>を落とすな","保住<color=#FFFF00>最后一颗球</color>","保住<color=#FFFF00>最後一顆球</color>","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
"","","","#VALUE!","#VALUE!","#VALUE!","",""
